OWNER;NAME;CONTEXTS
agola-io;agola;[["ci", "cd", "redefine"], ["introduction", "agola", "take", "look", "post"]]
ahmetb;go-linq;[["powerful", "language", "integrate", "query", "linq", "library", "go"]]
aisuko;ctlptl;[["want", "mess", "around", "kubernetes", "want_NEG", "spend_NEG", "ocean_NEG", "hardware_NEG"], ["maybe", "need", "ctlptl"]]
akamensky;argparse;'[["let", "u", "honest", "go''s", "standard", "command", "line", "argument", "parser", "flag", "terribly", "suck", "cannot", "come", "anywhere", "close", "python''s", "argparse", "module", "project", "exist"], ["goal", "project", "bring", "ease", "use", "flexibility", "argparse", "go", "name", "package", "come"], ["install", "start", "use", "argparse", "simply", "do:"], ["good", "go", "write", "first", "command", "line", "tool", "see", "usage", "example", "section", "information", "use"], ["start", "use", "argparse", "go", "see", "instruction", "install", "start", "write", "first", "program", "please", "check", "example", "example", "directory", "see", "use", "various", "way"], ["basic", "example", "print", "command", "example", "print", "directory"], ["create", "parser", "instance", "pas", "program", "name", "program", "description", "program", "name", "empty", "take", "os.args", "okay", "case", "description", "long", "wish", "use", "help", "output"], ["string", "allow", "get", "string", "argument", "progname", "string", "string", "content"], ["positional", "argument", "use", "like", "progname", "value", "see", "basic", "option", "structure", "positionals"], ["selector", "work", "string", "except", "allow", "specific", "value", "example", "like", "progname", "debug-level", "warn"], ["stringlist", "allow", "collect", "multiple", "string", "value", "slice", "string", "repeat", "flag", "multiple", "time", "progname", "string", "hostname", "string", "hostname", "hostname"], ["list", "allow", "collect", "multiple", "value", "slice", "string", "repeat", "flag", "multiple", "time", "fact", "alias", "stringlist", "progname", "host", "hostname", "host", "hostname", "h", "hostname"], ["flag", "tell", "simple", "flag", "set", "command", "line", "true", "set", "false", "example", "progname", "force"], ["flagcounter", "tell", "number", "time", "simple", "flag", "set", "command", "line", "integer", "great", "equal", "set_NEG", "example", "progname", "vv", "verbose"], ["int", "allow", "get", "decimal", "integer", "argument", "progname", "integer"], ["intlist", "allow", "collect", "multiple", "decimal", "integer", "value", "slice", "integer", "repeat", "flag", "multiple", "time", "progname", "integer", "integer"], ["float", "allow", "get", "floating", "point", "number", "argument", "progname", "float"], ["floatlist", "allow", "collect", "multiple", "float", "point", "number", "value", "slice", "float", "repeat", "flag", "multiple", "time", "progname", "float", "float", "f"], ["file", "validate", "file", "exists", "attempt", "open", "provide", "privilege", "use", "like", "progname", "log-file", "path", "file.log"], ["filelist", "allow", "collect", "file", "slice", "file", "repeat", "flag", "multiple", "time", "filelist", "validate", "file", "exists", "attempt", "open", "provide", "privilege", "use", "like", "progname", "log-file", "path", "file.log", "log-file", "path", "file_cpy", "log", "l", "another", "path", "file.log"], ["implement", "sub-commands", "cli", "use", "parser.newcommand", "go", "even", "deeply", "command.newcommand", "addition", "sub-command", "implies", "subcommand", "require", "sub-commands", "always", "parse", "argument", "command", "positional", "argument", "sub-commands", "sub-commands", "take", "precedence", "since", "parser", "inherits", "command", "every", "command", "support", "exactly", "option", "parser", "thus", "allow", "add", "argument", "specific", "command", "global", "argument", "add", "parser"], ["also", "dynamically", "retrieve", "argument", "value", "parse"], ["option", "structure", "declare", "argparse.go"], ["set", "require", "let", "know", "ask", "argument", "set", "validate", "lambda", "function", "make", "know", "value", "valid", "set", "help", "beautiful", "help", "document", "set", "default", "set", "default", "value", "user", "provide_NEG", "value_NEG"], ["caveat", "like", "design", "choice", "know", "shorthand", "argument", "must", "single", "character", "shorthand", "argument", "prepended", "single", "dash", "convenient_NEG", "shorthand_NEG", "argument_NEG", "completely_NEG", "skip_NEG", "pass_NEG", "empty_NEG", "string_NEG", "first_NEG", "argument_NEG", "shorthand_NEG", "argument_NEG", "parser.flag_NEG", "parser.flagcounter_NEG", "combine_NEG", "single_NEG", "argument_NEG", "ps_NEG", "aux_NEG", "rm_NEG", "rf_NEG", "lspci_NEG", "vvk_NEG", "long_NEG", "argument_NEG", "must_NEG", "specify_NEG", "cannot_NEG", "empty_NEG", "prepended", "double", "dash", "cannot", "define", "two", "argument", "first", "one", "use", "example", "parser.flag", "test", "nil", "follow", "parser.string", "test", "nil", "work_NEG", "second_NEG", "string_NEG", "argument_NEG", "ignore_NEG", "note_NEG", "shorthand_NEG", "argument_NEG", "however", "since", "case-sensitive", "library", "work", "arounf", "capitalize", "one", "argument", "pre-defined", "argument", "h", "help", "attempt", "define", "argument", "use", "h", "shorthand", "fail", "parser.parse", "return", "error", "case", "something", "go", "wrong", "expect_NEG", "cover_NEG", "case_NEG", "argument_NEG", "leave_NEG", "un-parsed_NEG", "regard_NEG", "error_NEG"], ["write", "go", "project", "need", "help"], ["take", "look", "open", "issue", "specially", "one", "tag", "help-wanted", "improvement", "offer", "please", "open", "issue", "first", "ensure", "improvement", "discuss"], ["follow", "task", "add", "example", "improve", "code", "quality", "messy", "right", "could", "use", "major", "revamp", "improve", "gocyclo", "report", "add", "argument", "option", "number", "parse", "improve", "test", "coverage", "write", "wiki", "project"], ["however", "note", "logic", "outline", "method", "comment", "must", "preserve", "library", "must", "stick", "backward", "compatibility", "promise"], ["thanks", "python", "developer", "make", "great", "argparse", "inspire", "package", "match", "greatness", "go"]]'
akhilmd;nitro;[["high", "performance", "in-memory", "key-value", "item", "storage", "engine", "write", "golang", "storage", "engine", "base", "lock-free", "data", "structure", "scale", "well", "multicore", "cpu"]]
Akityo;notify;[["feature", "installation", "provider", "usage", "run", "notify", "note", "join", "discord"], ["notify", "go-based", "assistance", "package", "enable", "stream", "output", "several", "tool", "read", "file", "publish", "variety", "supported", "platform"], ["display", "help", "tool", "switch", "support"], ["flag", "description", "example", "config", "notify", "configuration", "file", "notify", "config", "config.yaml", "silent", "print_NEG", "banner_NEG", "notify_NEG", "silent_NEG", "version_NEG", "show_NEG", "version_NEG", "notify_NEG", "notify_NEG", "version_NEG", "v_NEG", "show_NEG", "verbose_NEG", "output_NEG", "notify_NEG", "v_NEG", "no-color_NEG", "use_NEG", "color_NEG", "output_NEG", "notify_NEG", "no-color_NEG", "data_NEG", "file_NEG", "path_NEG", "read_NEG", "data_NEG", "notify_NEG", "data_NEG", "test.txt_NEG", "bulk_NEG", "read_NEG", "send_NEG", "data_NEG", "bulk_NEG", "file_NEG", "notify", "bulk", "char-limit", "character", "limit", "message", "default", "notify", "char-limit", "provider-config", "provider", "config", "path", "notify", "provider-config", "conf.yaml", "provider", "provider", "send", "notification", "optional", "notify", "provider", "slack", "telegram", "id", "id", "send", "notification", "optional", "notify", "id", "recon", "scan"], ["default", "provider", "config", "file", "create", "home", "config", "notify", "provider-config.yaml", "following", "content"], ["notify", "support", "pip", "output", "tool", "output", "file", "send", "configure", "provider", "e", "g", "discord", "slack", "channel", "notification"]]
AknEp;go-astits;[["golang", "library", "natively", "parse", "demux", "mpeg", "transport", "stream", "go"], ["install", "library", "use", "following"], ["transport", "stream", "make", "packet", "packet", "header", "optional", "adaptation", "field", "payload", "several", "payload", "append", "parse", "data"], ["warning", "code", "handle_NEG", "error_NEG", "readibility_NEG", "purpose_NEG", "however"]]
alaingilbert;ogame;[["download", "ogamed", "binary", "full", "documentation"], ["docker", "look", "docker", "image", "update", "env", "file", "specify", "universe", "name", "credential", "language"], ["env", "file", "contain", "environment", "variable", "use", "ogamed", "service"], ["create", "run", "container"], ["check", "container", "log", "see", "service", "correctly", "connect", "server"], ["container", "invoke", "usual", "service", "library"]]
AlecAivazis;survey;[["library", "build", "interactive", "accessible", "prompt", "terminal", "support", "ansi", "escape", "sequence"]]
aler9;gortsplib;[["rtsp", "client", "server", "library", "go", "programming", "language", "write", "rtsp-simple-server"]]
alexellis;arkade;[["arkade", "developer", "install", "late", "version", "favourite", "tool", "kubernetes", "apps"], ["arkade", "get", "kubectl", "kind", "terraform", "jq", "machine", "faster", "type", "apt-get", "install", "brew", "update"], ["cli", "apps", "chart", "manifest", "installers", "available", "kubernetes", "go", "day", "contend", "dozen", "readme", "file", "set", "development", "stack", "usual", "suspect", "like", "ingress-nginx", "postgres", "cert-manager"]]
alexeykaravan;go-bittrex;[["go-bittrex", "implementation", "bittrex", "api", "public", "private", "golang"], ["version", "implement", "v1", "bittrex", "api", "new", "hmac", "authentification"]]
alfg;mp4;[["basic", "mp4", "reader", "go"], ["cli", "library", "iso", "iec", "14496-12", "iso", "base", "medium", "file", "format"]]
alice-lg;birdwatcher;'[["birdwatcher", "small", "http", "server", "mean", "provide", "api", "define", "barry", "o''donovan''s", "birds-eye", "bird", "internet", "rout", "daemon"]]'
AllenDang;w32;[["w32", "wrapper", "window", "apis", "go", "programming", "language"], ["wrap", "win", "apis", "go", "style", "make", "easy", "use"], ["updated", "version", "window", "go", "build", "available"], ["contribution", "form", "design", "code", "documentation", "bug", "reporting", "way", "see", "fit", "welcome"]]
alvaroloes;enumer;[["enumer", "tool", "generate", "go", "code", "add", "useful", "method", "go", "enums", "constant", "specific", "type", "start", "fork", "rob", "pike", "stringer", "tool"]]
amimof;huego;[["extensive", "philip", "hue", "client", "library", "go", "emphasis", "simplicity", "design", "clean", "unbloated", "extensible", "huego", "interact", "philip", "hue", "bridge", "resource", "include", "light", "group", "scene", "sensor", "rule", "schedule", "resourcelinks", "capability", "configuration"]]
andskur;mollie-api-go;'[["accept", "ideal", "apple", "pay", "bancontact", "sofort", "banking", "creditcard", "sepa", "bank", "transfer", "sepa", "direct", "debit", "paypal", "belfius", "direct", "net", "kbc", "cbc", "paysafecard", "ing", "home''pay", "giftcards", "giropay", "eps", "przelewy", "online", "payment", "without", "fix", "monthly", "cost", "punishing", "registration", "procedure", "use", "mollie", "api", "receive", "payment", "directly", "website", "easily", "refund", "transaction", "customer"]]'
andwun;go-gdpr;'[["project", "include", "go", "apis", "work", "iab''s", "gdpr", "transparency", "consent", "framework"]]'
andybalholm;redwood;'[["redwood", "internet", "content-filtering", "program", "add", "flexibility", "granularity", "filtering", "classify", "site", "multiple", "category", "instead", "allow", "block"], ["redwood", "run", "http", "proxy", "server", "examine", "http", "message", "determine", "allow", "proceed", "pass", "message", "final", "destination", "replace_NEG", "message_NEG", "customizable_NEG", "page_NEG", "state_NEG", "request_NEG", "allow_NEG", "optionally_NEG", "give_NEG", "reason_NEG", "provide_NEG", "link_NEG", "file_NEG", "overblock_NEG", "request_NEG"], ["redwood", "filter", "base", "url", "also", "applicable", "page", "content"], ["default", "main", "configuration", "file", "locate", "etc", "redwood", "redwood.conf", "path", "change", "use", "c", "command", "line", "switch", "configuration", "option", "may", "specify", "either", "configuration", "file", "command-line", "switch", "configuration", "file", "may", "specify", "either", "key", "value", "key", "value", "comment", "delimit", "value", "may", "enclose", "double", "quote", "usual", "backslash", "escape", "additional", "configuration", "file", "may", "include", "use", "include", "directive"], ["example", "configuration", "file"], ["configuration", "file", "redwood", "allow", "user", "establish", "number", "category", "correspond", "type", "content", "wish", "block", "allow", "http", "message", "process", "assign", "score", "category", "base", "filter", "list", "set", "category", "score", "use", "determine", "whether", "page", "block"], ["category", "assigned", "action", "allow", "block", "ignore", "page", "block", "score", "category", "list", "block", "high", "high", "score", "category", "list", "allow", "category", "list", "ignore", "score", "affect_NEG", "whether_NEG", "page_NEG", "block_NEG", "however", "page", "block_NEG", "unless_NEG", "score_NEG", "high_NEG", "block_NEG", "category_NEG", "great_NEG", "certain_NEG", "configurable_NEG", "threshold_NEG", "prevent", "overblocks", "page", "almost", "textual_NEG", "content_NEG"], ["category''s", "action", "may", "also", "set", "acl", "category", "ignore", "process", "find", "top-scoring", "category", "page", "available", "acls", "act", "whenever", "page''s", "score", "category", "great", "zero"], ["category", "store", "directory", "whose", "location", "specify", "configuration", "file", "subdirectory", "directory", "define", "category", "name", "directory"], ["category", "directory", "contain", "file", "name", "category.conf", "number", "rule-list", "file", "category", "name", "mechanical", "might", "category.conf", "file", "like", "following"], ["configuration", "would", "mean", "categorys", "user-visible", "description", "would", "auto", "repair", "rather", "mechanical", "page", "fall", "category", "would", "allow", "description", "default", "category", "name", "action", "default", "ignore", "action", "overriden", "specific", "user", "use", "acls", "category.conf", "file", "may", "also", "entry", "invisible", "true", "indicate", "page", "block", "belong", "category", "response", "invisible", "image", "instead", "usual", "block", "page"], ["rule-list", "file", "define", "rule", "use", "calculate", "category", "score", "rule-list", "file", "must", "extension", "list", "rule", "ensure", "file", "end", "bak", "orig", "etc", "ignore", "plain-text", "file", "encode", "utf", "comment", "delimit", "example", "rule-list", "file", "might", "directory", "mechanical", "category", "mention", "earlier"], ["four", "kind", "filter", "rule"], ["also", "default", "rule", "specify", "weight", "assign", "rule", "specify_NEG", "weight_NEG", "apply", "rule", "without", "specified", "weight", "next", "default", "rule", "end", "file", "default_NEG", "rule_NEG", "default_NEG", "weight_NEG", "zero_NEG"], ["weight", "must", "integer", "may", "negative", "negative", "weight", "use", "offset", "short", "general", "match", "long", "more-specific", "one", "e", "g"], ["page", "block", "base", "url", "e", "url", "matching", "url", "regular", "expression", "content", "evaluate_NEG", "page_NEG", "download_NEG"], ["much", "redwood", "functionality", "configure", "access", "control", "list", "acls", "request", "assign", "number", "acl", "tag", "action", "choose", "base", "tag", "example"], ["first", "line", "create", "acl", "tag", "no-web", "assign", "request", "come", "ip", "address", "second", "line", "cause", "request", "tag", "block"], ["acls", "check", "several", "point", "processing", "request", "send", "request", "origin", "server", "receive", "response", "scan", "content", "phrase", "time", "request", "may", "different", "acl", "tag", "since", "information", "available", "stage", "also", "different", "set", "possible", "action", "although", "overlap", "allow", "block", "block-invisible", "action", "always", "available"], ["number", "acl", "file", "load", "acl", "directive", "configuration", "file", "acl", "file", "load", "acl", "file", "line", "contain", "include", "filename"]]'
antchfx;xpath;[["xpath", "go", "package", "provide", "select", "node", "xml", "html", "document", "use", "xpath", "expression"], ["gxpath", "support", "three", "type", "number", "boolean", "string"], ["function", "support", "boolean", "ceiling", "choose", "concat", "contains", "count", "current", "document", "element-available", "ends-with", "false", "floor", "format-number", "function-available", "generate-id", "id", "key", "lang", "last", "local-name", "match", "name", "namespace-uri", "normalize-space", "number_NEG", "position_NEG", "replace_NEG", "reverse_NEG", "round_NEG", "starts-with_NEG", "string_NEG", "string-length_NEG", "substring_NEG", "substring-after_NEG", "substring-before_NEG", "sum_NEG", "system-property_NEG", "translate_NEG", "true_NEG", "unparsed-entity-url_NEG"]]
anthonynsimon;bild;[["collection", "parallel", "image", "process", "algorithm", "pure", "go"], ["aim", "project", "simplicity", "use", "development", "absolute", "high", "performance", "algorithm", "design", "efficient", "make", "use", "parallelism", "available"], ["use", "package", "standard", "library", "whenever", "possible", "reduce", "dependency", "use", "development", "abstraction"], ["operation", "return", "image", "type", "standard", "library"]]
apache;incubator-yunikorn-core;'[["apache", "yunikorn", "light-weight", "universal", "resource", "scheduler", "container", "orchestrator", "system", "create", "achieve", "fine-grained", "resource", "share", "various", "workload", "efficiently", "large", "scale", "multi-tenant", "cloud-native", "environment", "yunikorn", "bring", "unified", "cross-platform", "scheduling", "experience", "mixed", "workload", "consist", "stateless", "batch", "workload", "stateful", "service"], ["yunikorn", "support", "k8s", "deploy", "custom", "k8s", "scheduler", "yunikorn''s", "architecture", "design", "also", "allow", "add", "different", "shim", "layer", "adopt", "different", "resourcemanager", "implementation", "include", "apache", "hadoop", "yarn", "system"]]'
apache;skywalking-swck;[["bridge", "project", "apache", "skywalking", "kubernetes"], ["swck", "platform", "skywalking", "user", "provision", "upgrade", "maintain", "skywalking", "relevant", "component", "make", "work", "natively", "kubernetes"]]
apcera;gssapi;[["colorize", "kubectl", "output"]]
apcera;termtables;[["ishell", "interactive", "library", "create", "interactive", "cli", "application"]]
apenella;go-ansible;[["go-ansible", "package", "run", "ansible-playbook", "ansible", "command", "golang", "application", "support", "option", "command"]]
apex;gateway;'[["package", "gateway", "provide", "drop-in", "replacement", "net", "http''s", "listenandserve", "use", "aws", "lambda", "api", "gateway", "simply", "swap", "gateway", "listenandserve", "extract", "provide", "additional", "middleware", "feature", "operational", "functionality"], ["two", "version", "library", "version", "x", "support", "aws", "api", "gateway", "event", "use", "original", "rest", "apis", "x", "support", "event", "use", "http", "apis", "information", "option", "read", "choose", "http", "apis", "rest", "apis", "aws", "documentation", "website"], ["install", "version", "x", "rest", "apis"], ["install", "version", "x", "http", "apis"]]'
aporeto-inc;tg;[["tg", "short", "tlsgen", "also", "french", "pun", "make", "issue", "certificate", "easy", "use", "standard", "golang", "crypto", "lib", "generate", "pkcs", "go", "provide_NEG", "way_NEG", "write_NEG", "want", "p12", "option", "work", "need", "openssl", "instal"]]
appleboy;go-fcm;[["project", "fork", "github.com/edganiukov/fcm"], ["golang", "client", "library", "firebase", "cloud", "messaging", "implement", "http", "client"], ["information", "firebase", "cloud", "messaging"]]
AppsFlyer;go-sundheit;[["library", "built", "provide", "support", "define", "service", "health", "golang", "service", "allow", "register", "async", "health", "check", "dependency", "service", "provide", "health", "endpoint", "expose", "status"]]
aquasecurity;kubectl-who-can;[["show", "subject", "rbac", "permission", "verb", "type", "type", "name", "nonresourceurl", "kubernetes"]]
arashmo;alpaca;[["alpaca", "http", "http", "proxy", "design", "user", "unix", "tool", "operate", "inside", "network", "use", "proxy", "auto-configuration", "pac", "file", "require", "ntlm", "authentication"], ["currently", "yet_NEG", "implement_NEG", "many_NEG", "important_NEG", "feature_NEG", "sock_NEG", "http_NEG", "2_NEG", "many_NEG", "predefined_NEG", "j_NEG", "function_NEG", "pac_NEG", "file_NEG", "use_NEG", "contribution", "welcome", "please", "reach", "would", "like", "help"]]
armfarm;kube-vip;[["high", "availability", "load-balancing"]]
asaskevich;govalidator;[["package", "validators", "sanitizers", "string", "structs", "collection", "base", "validator.js"], ["make", "sure", "go", "instal", "computer", "type", "following", "command", "terminal"], ["get", "specified", "release", "package", "gopkg.in"], ["package", "ready", "use"], ["add", "follow", "line", "go", "file"], ["unhappy", "use", "long", "govalidator", "something", "like"], ["setfieldsrequiredbydefault", "cause", "validation", "fail", "struct", "field", "include_NEG", "validation_NEG", "explicitly_NEG", "mark_NEG", "exempt_NEG", "use_NEG", "valid_NEG", "valid", "email", "optional", "good", "place", "activate", "package", "init", "function", "main", "function"], ["setnilptrallowedbyrequired", "cause", "validation", "pass", "struct", "field", "mark", "require", "set", "nil", "disable", "default", "consistency", "package", "need", "able", "determine", "nil", "zero", "value", "state", "use", "disable", "nil", "zero", "value", "validation", "error"], ["context", "add", "second", "parameter", "structs", "object", "validate", "make", "dependent", "validation", "possible"], ["change", "prevent", "data", "race", "access", "custom", "validators"], ["istype", "use", "tag", "type", "essential", "map", "validation"], ["iterate", "slice", "array", "call", "iterator", "every", "item"], ["want", "validate", "structs", "use", "tag", "valid", "field", "structure", "validators", "use", "field", "one", "tag", "separate", "comma", "want", "skip", "validation", "place", "tag", "need", "validator", "list_NEG", "add_NEG", "like_NEG"], ["completely", "custom", "validators", "interface-based", "see"], ["list", "available", "validators", "struct", "field", "validator", "use", "function"], ["validators", "parameter", "type"], ["small", "example", "usage"], ["want", "validate", "map", "use", "map", "validate", "validation", "map", "contain", "tag", "use", "validatestruct", "map", "form", "map", "string", "interface"], ["small", "example", "usage"], ["custom", "validation", "use", "domain", "specific", "validators", "also", "available", "example", "use"], ["default", "error", "return", "error", "single", "string", "access", "error"], ["custom", "error", "message", "support", "via", "annotation", "add", "separator", "example", "use"], ["documentation", "available", "godoc.org", "full", "information", "code", "coverage", "also", "available", "govalidator", "gocover.io"], ["contribution", "package", "feel", "free", "create", "pull", "request", "issue"], ["know_NEG", "feature_NEG", "function_NEG", "need_NEG"], ["feel", "free", "create", "want", "keep", "mind", "implement", "new", "feature", "code", "must", "clear", "readable", "name", "variable", "constant", "clearly", "describe", "public", "function", "must", "document", "describe", "source", "file", "add", "readme.md", "list", "available", "function", "must", "unit-tests", "new", "function", "improvement"]]
asciimoo;wuzz;'[["interactive", "cli", "tool", "http", "inspection"], ["wuzz", "command", "line", "argument", "similar", "curl''s", "argument", "use", "inspect", "modify", "request", "copy", "browser''s", "network", "inspector", "copy", "curl", "feature"]]'
asdine;storm;[["storm", "simple", "powerful", "toolkit", "boltdb", "basically", "storm", "provide", "index", "wide", "range", "method", "store", "fetch", "data", "advanced", "query", "system", "much"], ["addition", "example", "see", "also", "example", "godoc"], ["extend", "query", "support", "badger", "see", "also", "genji"]]
aspenmesh;istio-vet;[["istio-vet", "tool", "utility", "validate", "configuration", "istio", "user", "application", "instal", "kubernetes", "cluster"], ["tool", "work", "istio", "version"]]
asticode;go-astisub;[["golang", "library", "manipulate", "subtitle"], ["allow", "manipulate", "srt", "stl", "ttml", "ssa", "webvtt", "teletext", "file"], ["available", "operation", "parse", "write", "apply", "linear", "correction", "sync", "fragment", "unfragmenting", "merge", "optimize"], ["warning", "code", "handle_NEG", "error_NEG", "readibility_NEG", "purpose_NEG", "however"], ["astisub", "instal", "properly"]]
auth0-community;auth0;[["implementation", "standard", "golang", "crypto", "interface", "use", "pkcs", "#11", "backend", "supported", "feature"], ["signing", "crypto.signer", "interface", "decryption", "crypto.decrypter"], ["verify", "signature", "encrypt", "message", "retrieve", "public", "key", "software"], ["see", "documentation", "detail", "various", "limitation", "especially", "regard", "symmetric", "crypto"], ["since", "v1", "crypto", "require", "go", "v1", "install", "library", "run"], ["crypto", "library", "need", "configure", "information", "pkcs", "#11", "installation", "either", "programmatically", "see", "config", "struct", "documentation", "via", "configuration", "file", "configuration", "file", "json", "representation", "config", "struct"], ["minimal", "configuration", "file", "look", "like"]]
avelino;gin;[["functional", "language", "easily", "extensible", "possible", "lua", "feature", "lisp", "dialect", "functional", "embark", "software", "go"]]
awa;go-iap;[["go-iap", "verifies", "purchase", "receipt", "via", "appstore", "googleplaystore", "amazon", "appstore"], ["current", "api", "document"], ["validator", "support", "receipt", "type", "ios"], ["validator", "use", "version", "api"], ["validator", "use", "rv", "iap", "v2"], ["validator", "use", "version", "api"], ["validator", "use", "version", "1.0+"], ["go-iap", "license", "mit"]]
Azure;azure-event-hubs-go;[["please", "note", "new", "beta", "package", "available", "azeventhubs", "2022-11-", "see", "migration", "guide", "detail"], ["azure", "event", "hub", "highly", "scalable", "publish-subscribe", "service", "ingest", "million", "event", "per", "second", "stream", "multiple", "application", "let", "u", "process", "analyze", "massive", "amount", "data", "produce", "connected", "device", "application", "event", "hub", "collect", "data", "retrieve", "transform", "store", "use", "real-time", "analytics", "provider", "batching", "storage", "adapter"], ["refer", "online", "documentation", "learn", "event", "hub", "general"], ["library", "pure", "golang", "implementation", "azure", "event", "hub", "amqp"]]
baetyl;baetyl-cloud;[["baetyl", "open", "edge", "compute", "framework", "linux", "foundation", "edge", "extend", "cloud", "computing", "data", "service", "seamlessly", "edge", "device", "provide", "temporary", "offline", "low-latency", "computing", "service", "include", "device", "connection", "message", "routing", "remote", "synchronization", "function", "computing", "video", "capture", "ai", "inference", "status", "reporting", "configuration", "ota", "etc"], ["baetyl", "v2", "provide", "new", "edge", "cloud", "integration", "platform", "adopt", "cloud", "management", "edge", "operation", "solution", "divide", "edge", "compute", "framework", "cloud", "management", "suite", "project", "support", "varius", "deployment", "method", "manage", "resource", "cloud", "node", "application", "configuration", "etc", "automatically", "deploy", "application", "edge", "node", "meet", "various", "edge", "compute", "scenario", "especially", "suitable", "emerge", "strong", "edge", "device", "ai", "all-in-one", "machine", "5g", "roadside", "box"], ["main", "difference", "v2", "v1", "version", "follow", "edge", "cloud", "framework", "evolve", "cloud", "native", "already", "support", "run", "k8s", "k3s", "introduce", "declarative", "design", "realize", "data", "synchronization", "ota", "shadow", "report", "desire", "edge", "framework", "support_NEG", "native_NEG", "process_NEG", "mode_NEG", "currently_NEG", "since", "run", "k3s", "overall", "resource", "overhead", "increase", "edge", "framework", "support", "edge", "node", "cluster", "future"]]
barnacs;compy;[["compy", "http", "http", "forward", "proxy", "content", "compression", "transcoding", "capability", "one", "use", "case", "reduce", "bandwidth", "usage", "browse", "limited", "mobile", "broadband", "connection"]]
bboozzoo;mconnect;'[["mconnect", "kde", "connect", "protocol", "implementation", "vala", "c"], ["glib", "gio", "available", "even", "trim", "system", "vala", "really", "need", "build", "time", "json-glib", "packet", "parsing", "libnotify", "responsible", "display", "popups"], ["build", "dependency", "use", "package", "name", "found", "fedora"], ["see", "extra", "travis-build", "source", "tree", "example", "installation", "command", "build", "deps", "place", "run"], ["note", "manual", "configuration", "file", "longer_NEG", "need_NEG"], ["sample", "configuration", "file", "provide", "source", "tree", "see", "mconnect.conf", "get", "instal", "datadir", "mconnect", "usually", "correspond", "usr", "share", "mconnect", "default", "mconnect", "start", "pick", "default", "file", "make", "copy", "user''s", "config", "directory", "specifically", "config", "mconnect"], ["device", "describe", "group", "list", "main.devices", "match", "exactly", "incoming", "identity", "packet", "however", "since", "deviceid", "know_NEG", "beforehand_NEG", "neither_NEG", "show_NEG", "kde_NEG", "connect_NEG", "android_NEG", "application_NEG", "name_NEG", "type_NEG", "use_NEG", "match_NEG"], ["mconnect", "come", "separate", "program", "daemon", "mconnect", "d-bus", "client", "mconnectctl"]]'
