OWNER;NAME;CONTEXTS
aj0strow;espn-scraper;'[["espn", "scraper", "simple", "gem", "scrap", "team", "score", "espn''s", "website", "please", "note", "espn", "involve_NEG", "gem_NEG", "way_NEG", "choose", "espn", "leader", "sport", "statistic", "robust", "website"], ["let", "u", "begin"], ["gem", "support", "following", "league"], ["nfl", "mlb", "nba", "nhl", "ncaa", "d1", "football", "ncaa", "d1", "men''s", "basketball", "respectively"], ["get", "division", "league"], ["get", "conference", "ncaa", "d1", "men''s", "basketball"], ["get", "team", "league", "acronym", "return", "hash", "division", "array", "hash", "team", "division"], ["score", "request", "return", "array", "hash", "example", "nfl", "score", "hash"], ["notice", "team", "identify", ":d", "ata_name", "espn", "get_teams_in", "request", "one", "issue", "scrap", "score", "football", "go", "year", "week", "baseball", "basketball", "hockey", "go", "date"], ["pattern", "espn", "get__scores", "year", "week", "nfl", "ncf"], ["pattern", "espn", "get__scores", "date", "mlb", "nba", "nhl", "ncb"]]'
AKSW;jekyll-rdf;[["jekyll", "plugin", "include", "rdf", "data", "static", "site"], ["api", "documentation", "available", "rubydoc.info"], ["prerequisite", "jekyll", "rdf", "course", "need", "install", "jekyll", "please", "take", "look", "installation", "instruction"], ["already", "working", "jekyll", "installation", "add", "jekyll-rdf", "plugin", "probably", "already", "use", "bundler", "gemfile", "jekyll", "directory", "add", "jekyll-rdf", "plugins", "section"], ["replace", "version", "string", "currently", "available", "stable", "release", "list", "rubygems.org", "update", "gemfile", "probably", "want", "run", "bundle", "install", "bundle", "install", "path", "vendor", "bundle", "bundle", "update"], ["use_NEG", "gemfile_NEG", "manage_NEG", "jekyll_NEG", "ruby_NEG", "package_NEG", "install_NEG", "jekyll-rdf_NEG", "use_NEG", "gem_NEG"], ["want", "build", "plugin", "source", "please", "look", "development", "section"], ["section", "explain", "use", "jekyll-rdf", "three", "step"], ["filter", "method", "use", "template", "configuration", "option", "document", "section", "parameter", "configuration", "option", "glance"]]
alexdalitz;dnsruby;'[["dnsruby", "pure", "ruby", "dns", "client", "library", "implement", "stub", "resolver", "aim", "comply", "dns", "rfcs"], ["dnsruby", "present", "enhanced", "api", "dns", "base", "ruby''s", "core", "resolv.rb", "resolv", "api", "much", "extend", "provide", "complete", "dns", "implementation"], ["dnsruby", "run", "single", "thread", "handle", "concurrent", "query", "therefore", "suitable", "high", "volume", "dns", "application"], ["following", "non-exhaustive", "list", "feature"]]'
aliyun;aliyun-oss-ruby-sdk;[["alibaba", "cloud", "os", "sdk", "ruby"]]
alphagov;govspeak;[["govspeak", "markdown-derived", "mark-up", "language"], ["create", "new", "document"]]
amatsuda;active;[["simple", "rubyish", "view", "helper", "rail", "rail", "rail", "rail", "keep", "helper", "view", "object-oriented"]]
amatsuda;database;'[["database_rewinder", "minimalist''s", "tiny", "ultra-fast", "database", "cleaner"]]'
amatsuda;html5;[["automatic", "client-side", "validation", "use", "html", "form", "validation"]]
amatsuda;i18n;[["rails", "plugin", "generate", "i18n", "locale", "file", "automatic", "translation", "support", "rail", "x", "x", "x", "x", "x", "x", "x", "x", "x", "x", "x", "x", "x"], ["example", "generate", "translation", "file", "example", "model", "take", "rail", "girl", "app"]]
amazeeio;pygmy;[["pygmy", "single", "tool", "need", "get", "local", "amazee.io", "docker", "drupal", "development", "environment", "run", "linux", "base", "system", "built", "work", "docker", "mac", "quite", "lot", "small", "whale"]]
ammar;regexp;[["ruby", "gem", "tokenizing", "parsing", "transform", "regular", "expression"], ["example", "regexp_parser", "use", "see", "example", "project"]]
amoeba-rb;amoeba;[["easy", "cloning", "active_record", "object", "include", "association", "several", "operation", "association", "attribute"]]
amro;gibbon;'[["gibbon", "api", "wrapper", "mailchimp''s", "api"]]'
andreapavoni;panoramic;[["actionview", "resolver", "implementation", "store", "rail", "view", "layout", "template", "partial", "database", "simply", "put", "view", "filesystem", "database"], ["note", "moment", "activerecord", "support", "plan", "add", "orms", "see", "todo", "cannot", "wait", "add", "orms", "trivial"]]
andreapavoni;simple;[["set", "simple_form", "custom", "input", "get", "image", "preview", "link", "uploaded", "file"], ["gem", "use", "simple_form", "ability", "write", "form", "tag", "check", "simple_form-bootstrap", "example", "case", "need", "kind", "preview", "come", "uploaded", "file", "avatar", "image", "doc", "etc", "write", "markup", "time"]]
AndrewRadev;vimrunner;'[["use", "vim''s", "client", "server", "functionality", "library", "expose", "way", "spawn", "vim", "instance", "control", "programatically", "apart", "fun", "party", "trick", "use", "integration", "test", "vimscript"], ["late", "stable", "documentation", "find", "rubydoc.info"], ["issue", "report", "contribution", "welcome", "github", "issue", "tracker"]]'
ankane;authtrail;[["track", "devise", "login", "activity"], ["tangerine", "battle-tested", "instacart"]]
ankane;distribute;[["scale", "database", "read", "replicas", "rail"], ["tangerine", "battle-tested", "instacart"]]
ankane;field;[["maple_leaf", "b", "test", "rail"], ["us", "bayesian", "statistic", "evaluate", "result", "need_NEG", "choose_NEG", "sample_NEG", "size_NEG", "ahead_NEG", "time_NEG"]]
ankane;lockbox;[[":p", "ackage", "modern", "encryption", "ruby", "rail"], ["learn", "principle", "behind", "secure", "email", "devise", "secure", "sensitive", "data", "rail"]]
ankane;mailkick;[["email", "subscription", "rail"], [":p", "ostbox", "check", "ahoy", "email", "analytics"]]
ankane;pgslice;[["postgres", "partition", "easy", "pie", "work", "great", "new", "existing", "table", "zero", "downtime", "minimal", "app", "change", "need_NEG", "install_NEG", "anything_NEG", "database_NEG", "server_NEG", "archive", "old", "data", "rolling", "basis", "keep", "database", "size", "control"], ["tangerine", "battle-tested", "instacart"]]
ankane;pgsync;[["sync", "data", "one", "postgres", "database", "another", "like", "pg_dump", "pg_restore", "design"], ["tangerine", "battle-tested", "instacart"]]
ankane;searchkick;[["rocket", "intelligent", "search", "make", "easy"], ["searchkick", "learn", "user", "look", "people", "search", "get", "smarter", "result", "get", "good", "friendly", "developer", "magical", "user"], ["check", "searchjoy", "analytics", "autosuggest", "query", "suggestion"], ["tangerine", "battle-tested", "instacart"]]
ankane;strong;[["catch", "unsafe", "migration", "development"], ["detects", "potentially", "dangerous", "operationsprevents", "run", "defaultprovides", "instruction", "safer", "way", "want"], ["support", "postgresql", "mysql", "mariadb"], ["tangerine", "battle-tested", "instacart"]]
anycable;anycable-rails;[["anycable", "allow", "use", "websocket", "server", "write", "language", "replacement", "built-in", "rail", "action", "cable", "server"], ["anycable", "use", "channel", "client-side", "j", "broadcast", "almost", "action", "cable"], ["even", "use", "action", "cable", "development", "afraid_NEG", "compatibility_NEG", "issue_NEG"]]
apicollective;apibuilder-cli;[["command", "line", "interface", "api", "builder"], ["macos", "use", "brew"], ["setup_NEG", "need_NEG", "use_NEG", "api_NEG", "builder_NEG", "command_NEG", "directly_NEG", "see_NEG"], ["run", "follow", "instruction", "walk", "following", "step"]]
apotonick;disposable;[["decorator", "top", "orm", "layer"]]
apotonick;representable;[["representable", "map", "ruby", "object", "document", "back"], ["word", "take", "object", "decorate", "representer", "module", "allow", "render", "json", "xml", "yaml", "document", "object", "half", "also", "use", "representers", "parse", "document", "create", "populate", "object"], ["representable", "helpful", "kind", "mapping", "render", "parse", "workflow", "however", "mostly", "useful", "api", "code", "plan", "write", "real", "rest", "api", "representable", "check", "roar", "gem", "first", "save", "work", "time", "make", "world", "good", "place", "instead"]]
appfolio;gemsurance;[["gemsurance", "tool", "monitor", "ruby", "gem", "out-of-date", "vulnerable", "use", "bundler", "ruby", "advisory", "database", "similar", "bundler-audit", "output", "html", "report", "determines", "gem", "out-of-date", "well"]]
appfolio;store;[["activerecord", "always", "store", "base", "class", "polymorphic_type", "column", "use", "sti", "non-trivial", "performance", "implication", "certain", "case", "gem", "add", "store_base_sti_class", "configuration", "option", "control", "whether", "activerecord", "store", "base", "class", "actual", "class", "default", "true", "backwards", "compatibility"]]
appsignal;rdkafka-ruby;[["rdkafka", "gem", "modern", "kafka", "client", "library", "ruby", "base", "librdkafka", "wrap", "production-ready", "c", "client", "use", "ffi", "gem", "target", "kafka", "1.0+", "ruby", "version", "security", "active", "maintenance", "remove", "ruby", "version", "ci", "build", "become", "eol"], ["rdkafka", "write", "need", "reliable", "ruby", "client", "kafka", "support", "modern", "kafka", "appsignal", "run", "production", "high", "traffic", "system"], ["gem", "provide", "high-level", "kafka", "consumer", "run", "old", "version", "kafka", "need", "legacy", "simple", "consumer", "suggest", "use", "hermann", "gem"], ["important", "piece", "kafka", "client", "implement", "work", "towards", "feature", "completeness", "track"]]
aptible;aptible-cli;[["command-line", "interface", "aptible", "service"]]
aptible;docker-nginx;[["nginx", "http", "reverse", "proxy", "server"]]
arirusso;ffi-coremidi;'[["access", "apple", "core", "midi", "framework", "api", "ruby"], ["note", "interest", "allow", "people", "platform", "utilize", "code", "please", "consider", "use", "unimidi", "unimidi", "platform", "independent", "wrapper", "implement", "library", "similar", "api"], ["use", "bundler", "add", "line", "application''s", "gemfile"], ["gem", "install", "ffi-coremidi"], ["library", "begin", "coremidi", "ffi", "bind", "code", "midi", "output", "colin", "harris", "contain", "fork", "midiator", "blog", "post"], ["midiator", "c", "ben", "bleything", "topher", "cyll", "release", "mit", "license", "see", "license.midiator", "license.prp"], ["thank", "jeremy", "voorhis", "useful", "debugging"], ["thank", "javier", "snchez", "yeste", "nice", "thread", "lock", "improvement"], ["apache", "see", "file", "license"], ["copyright", "c", "2011-2022", "ari", "russo"]]'
arnau;ISO8601;[["new", "maintainer", "want"], ["version", "compatible_NEG", "previous_NEG", "version_NEG", "atom", "duration", "change", "interface", "treat", "base", "date", "applied", "compute", "atom", "length", "e", "g", "#to_seconds", "consequence", "longer_NEG", "possible_NEG", "operation_NEG", "like_NEG", "datetime_NEG", "duration_NEG"], ["version", "lock", "public", "interface"], ["check", "changelog", "upgrade", "old", "version"], ["iso", "simple", "implementation", "iso", "data", "element", "interchange", "format", "information", "interchange", "representation", "date", "time", "standard"]]
arsduo;koala;[["koala", "facebook", "library", "ruby", "support", "graph", "api", "include", "batch", "request", "photo", "uploads", "marketing", "api", "atlas", "api", "realtime", "update", "test", "user", "oauth", "validation", "write", "koala", "four", "goal"], ["find", "bug", "interested", "contribute", "check", "maintenance", "section"]]
artofhuman;activeadmin;[["provide", "nice", "ui", "interface", "rails-settings-cached", "gem", "active", "admin"]]
arturictus;sidekiq;[["sidekiqalive", "offer", "solution", "add", "liveness", "probe", "sidekiq", "instance", "deploy", "kubernetes", "library", "use", "check", "sidekiq", "health", "outside", "kubernetes"], ["http", "server", "start", "request", "validate", "liveness", "key", "store", "redis", "mean", "work"], ["sidekiq", "worker", "responsible", "store", "key", "sidekiq", "stop", "process", "worker", "key", "get", "expire", "redis", "consequently", "http", "server", "return", "error"], ["worker", "responsible", "requeue", "next", "liveness", "probe"], ["instance", "kubernetes", "check", "base", "env", "variable", "hostname", "kubernetes", "set", "replica", "pod"], ["initialization", "sidekiqalive", "asign", "sidekiq", "worker", "queue", "current", "host", "add", "queue", "current", "instance", "queue", "process"]]
asakusarb;action;[["controller", "action", "argument", "parameterizer", "rail"]]
asciidoctor;jekyll-asciidoc;[["jekyll", "asciidoc", "plugin", "power", "asciidoctor", "dan", "allen", "@mojavelinux", "paul", "rayner", "@paulrayner", "setting", "idprefix", "idseparator", "ifndef", "env-github", "icon", "font", "ifdef", "env-github", "env-browser", "toc", "macro", "toclevels", "endif", "ifdef", "env-github", "branch", "master", "status", "outfilesuffix", "adoc", "toc-title", "caution-caption", "fire", "important-caption", "exclamation", "note-caption", ":p", "aperclip", "tip-caption", "bulb", "warning-caption", "warning", "endif", "aliases", ":p", "ath-config", "pas", "q", "path", "___config", "yml", "conum-guard", "sp", "ifndef", "icon", "conum-guard", "sp", "sp", "uris", "url-repo", "url-issues", "url-repo", "issue", "url-search-issues", "url-repo", "search", "type", "issue", "url-chat", "asciidoctor", "asciidoctor", "url-ci-travis", "url-ci-appveyor", "url-gem", "url-gem-asciidoctor", "url-asciidoc", "url-asciidoctor", "url-asciidoctor-backends", "url-asciidoctor-docs", "url-asciidoctor", "doc", "url-asciidoctor-diagram", "url-asciidoctor-docs", "asciidoctor-diagram", "url-asciidoctor-discuss", "url-asciidoctor-manual", "url-asciidoctor-docs", "user-manual", "url-asciidoc-practices", "url-asciidoctor-docs", "asciidoc-recommended-practices", "url-jaq", "url-jekyll", "url-jekyll-docs", "url-jekyll", "doc", "url-jekyll-discuss", "url-front-matter", "url-jekyll-docs", "frontmatter", "url-liquid-templates", "url-jekyll-docs", "template", "url-variables", "url-jekyll-docs", "variable", "url-graphviz", "url-tilt", "url-yaml", "url-guide-publish-gem"], ["ifdef", "status", "endif"], ["plugin", "url-jekyll", "jekyll", "convert", "url-asciidoc", "asciidoc", "source", "file", "site", "html", "page", "use", "url-asciidoctor", "asciidoctor"], ["ifeval", "branch", "master", "note", "view", "documentation", "upcoming", "release", "look", "documentation", "old", "release", "please", "refer", "one", "following", "branch", "url-repo", "tree", "v2", "x", "#readme", "x", "url-repo", "tree", "v2", "x", "#readme", "x", "url-repo", "tree", "v1", "x", "#readme", "x", "url-repo", "tree", "v1", "x", "#readme", "x", "endif"], ["plugin", "consist", "three", "extension"], ["converter", "jekyll", "asciidoc", "converter", "convert", "asciidoc", "file", "html", "page", "plugin", "currently", "use", "asciidoctor", "convert", "asciidoc", "content"], ["generator", "jekyll", "asciidoc", "integrator", "promote", "eligible", "asciidoc", "attribute", "e", "g", "doctitle", "id", "author", "attribute", "begin", "page", "attribute", "prefix", "page", "variable", "attribute", "merge", "page", "variable", "define", "front", "matter", "header"], ["liquid", "filter", "asciidocify", "use", "converter", "plugin", "convert", "string", "asciidoc", "content", "html", "tocify_asciidoc", "generate", "table", "content", "html", "parsed", "asciidoc", "document", "current", "page", "since"], ["extension", "register", "automatically", "app", "jekyll-asciidoc", "gem", "require"], ["use", "plugin", "must", "use", "jekyll", "ruby", "development", "header", "instal", "also", "familiar", "create", "site", "jekyll", "first_NEG", "read_NEG", "url-jekyll-docs_NEG", "jekyll_NEG", "documentation_NEG", "familiarize_NEG", "work_NEG", "experience", "asciidoc", "asciidoctor", "also", "helpful", "requirement_NEG"], ["like", "jekyll", "plugin", "design", "developer", "assembly", "require", "mean", "expect", "edit", "configuration", "modify", "html", "template", "customize", "cs", "use", "fully"], ["plugin", "package", "gem", "name", "app", "url-gem", "jekyll-asciidoc", "publish", "rubygems.org", "plugin", "depend", "app", "url-gem-asciidoctor", "asciidoctor", "gem", "get", "instal", "automatically"], ["method", "installation", "depend", "whether", "use", "bundler", "manage", "dependency", "jekyll", "project"], ["important", "jekyll", "relies", "several", "native", "gem", "necessary", "ruby", "development", "header", "e", "g", "ruby", "h", "machine", "order", "install", "asciidoc", "jekyll", "due", "requirement", "jekyll", "instruction", "install", "ruby", "development", "header", "platform-specific", "outside", "scope", "document"], ["tip", "use", "rvm", "add", "path", "ruby-version", "file", "project", "automatically", "switch", "correct", "version", "ruby", "time", "enter", "project", "information", "refer", "page", "rvm", "project", "workflow"], ["installation", "use", "bundler"], ["use", "bundler", "manage", "dependency", "project", "recommend", "simply", "add", "app", "jekyll-asciidoc", "gem", "jekyll_plugins", "group", "path", "gemfile"]]
asenchi;scrolls;[["scroll", "library", "generate", "log", "structure", "key", "value"]]
asonas;chatwork-ruby;[["ruby", "binding", "chatwork", "api"]]
auxesis;cucumber-nagios;'[["cucumber-nagios", "allows", "write", "high-level", "behavioural", "test", "web", "application", "plug", "result", "nagios"], ["bradley", "taylor", "put"], ["add", "cucumber-nagios-gen", "cucumber-nagios", "command", "path", "make", "shipped", "cucumber-nagios", "step", "available", "project", "use", "cucumber"], ["window", "user", "need", "download", "install", "ruby", "installer", "development", "kit", "otherwise", "gem", "install", "cucumber-nagios", "fail"], ["instal", "cucumer-nagios", "gem", "set", "standalone", "project"], ["spit", "bunch", "file", "directory", "specify"], ["check", "readme", "within", "directory", "specific", "instruction", "manage", "project"], ["use", "aruba''s", "step", "definition", "ssh", "session", "use", "passwordl-less", "authetication"], ["instal", "cucumber-nagios", "gem", "just-work", "course", "server", "need", "accept", "connection", "test", "localhost", "password-less", "access", "bash"], ["want", "interactive", "login", "set", "new", "ssh", "user", "key", "host"], ["finally", "need", "enter", "password", "create", "key", "try"], ["ssh", "server", "accept", "secure", "password-less", "connection", "remove", "test", "key", "ssh", "remove", "host", "entry", "ssh", "config"], ["good", "use", "ssh-forever", "course", "gem", "use"], ["full", "example", "see", "ssh-forever"], ["bundle", "cucumber-nagios''s", "dependency", "allow", "drop", "cucumber-nagios", "project", "machine", "run", "solve", "case", "develop", "check", "local", "machine", "deploy", "production", "monitoring", "server"], ["first", "need", "make", "sure", "following", "dependency", "instal"], ["bundle", "dependency", "within", "project", "directory", "run"], ["set", "project", "use", "cucumber-nagios-gen", "command", "generate", "new", "feature", "take", "two", "argument", "site", "test", "feature", "test"], ["spit", "two", "file"], ["write", "feature", "want", "read", "cucumber", "documentation", "however", "test", "look", "something", "like"], ["collection", "step", "cover", "thing", "test", "feature", "step", "webrat_steps", "rb"], ["write", "custom", "step", "test", "specific", "output", "behaviour", "e", "g", "feature", "smh.com.au/smh.feature"], ["step_NEG", "see_NEG", "site_NEG", "navigation_NEG", "write_NEG", "one_NEG", "feature", "smh.com.au/steps/smh_steps.rb"], ["use", "nokogiri", "test", "response", "xpath", "matcher", "css", "selector"], ["suggest", "use", "bin", "cucumber", "directly", "get", "good", "feedback", "write", "test"], ["output", "use", "default", "pretty", "formatter"], ["invoke", "cucumber", "feature", "cucumber-nagios", "script"], ["cucumber-nagios", "run", "anywhere"], ["return", "standard", "nagios-formatted", "response", "string"], ["step", "fail", "show", "critical", "total", "step", "pas", "show", "okay", "total"], ["value", "print", "end", "nagios''s", "performance", "data", "format", "graph", "like"], ["benchmark", "feature", "need", "test", "response", "time", "set", "site", "interaction"], ["elapsed", "time", "step", "reuse", "multiple", "time", "scenario", "need", "fine", "grain", "testing"], ["test", "various", "condition", "amqp", "message", "queue"], ["test", "use", "rabbitmq", "use", "amqp", "gem", "support", "backends", "see", "feature", "amqp_steps", "rb", "available", "step"], ["per", "install", "instruction", "make", "sure", "rubygems", "bundler", "gem", "instal"], ["copy", "project", "monitoring", "server", "run", "bundler"]]'
aws;aws-sdk-ruby-record;'[["data", "mapping", "abstraction", "aws", "sdk", "ruby''s", "client", "amazon", "dynamodb"], ["library", "currently", "development", "feature", "add", "approach", "general", "availability", "initial", "release", "small", "api", "surface", "area", "possible", "interface", "may", "change", "ga", "release"], ["would", "like", "invite", "part", "ongoing", "development", "gem", "welcome", "contribution", "would", "also", "happy", "hear", "would", "like", "use", "gem", "feature", "request", "welcome"]]'
aws;aws-xray-sdk-ruby;[["aws", "x-ray", "recommends", "use", "aws", "distro", "opentelemetry", "adot", "instrument", "application", "instead", "x-ray", "sdk", "due", "wider", "range", "feature", "instrumentation", "see", "aws", "x-ray", "doc", "work", "ruby", "help", "choose", "adot", "x-ray", "sdk"], ["want", "additional", "feature", "trace", "ruby", "application", "please", "open", "issue", "opentelemetry", "ruby", "instrumentation", "repository"]]
bacongravy;macinbox;[["put", "macos", "catalina", "vagrant", "box"], ["sequence", "shorten", "original", "run", "time", "minute"], ["support", "create", "box", "either", "vmware_fusion", "vmware_desktop", "parallel", "virtualbox", "format"]]
barsoom;attr;'[["take", "boilerplate", "ruby", "lower", "barrier", "extract", "small", "focused", "class", "without", "downside", "use", "struct"], ["provide", "lower-level", "method", "like", "attr_private", "attr_value", "nicely", "complement", "ruby''s", "built-in", "attr_accessor", "attr_reader", "attr_writer"], ["also", "higher-level", "one", "like", "pattr_initialize", "attr_private_initialize", "method_object", "really", "cut", "boilerplate"], ["support", "positional", "argument", "well", "optional", "required", "keyword", "argument"], ["also", "provide", "convenience", "create", "value", "object", "method", "object", "query", "method", "abstract", "method"]]'
basecamp;marginalia;[["attach", "comment", "activerecord", "query", "default", "add", "application", "controller", "action", "name", "comment", "end", "query"], ["help", "search", "log", "file", "query", "see", "slow", "query", "come"], ["example", "enable", "log", "look", "like"], ["also", "use", "query", "comment", "along", "tool", "like", "pt-query-digest", "automate", "identification", "controller", "action", "hotspot", "slow", "query"], ["gem", "create", "37signals", "read", "use", "blog"], ["test", "use", "production", "mysql", "pg", "gem", "test", "rail", "ruby", "also", "test", "sqlite"], ["rail", "version", "support", "follow", "supported", "version", "ruby", "rail", "maintenance", "policy", "ruby", "support", "follow", "maintain", "version", "ruby", "maintenance", "policy"], ["patch", "welcome", "database", "adapter"]]
basecrm;basecrm-ruby;[["basecrm", "official", "api", "v2", "library", "client", "ruby"]]
bblimke;webmock;[["library", "stub", "set", "expectation", "http", "request", "ruby"]]
